Ticker,Date,Open,High,Low,Close,Adj Close,Volume
AAPL,07-02-2023,150.64,155.23,150.64,154.65,154.41,83322600
AAPL,08-02-2023,153.88,154.58,151.17,151.92,151.69,64120100
AAPL,09-02-2023,153.78,154.33,150.42,150.87,150.64,56007100
AAPL,10-02-2023,149.46,151.34,149.22,151.01,151.01,57450700
AAPL,13-02-2023,150.95,154.26,150.92,153.85,153.85,62199000
AAPL,14-02-2023,152.12,153.77,150.86,153.20,153.20,61707600
AAPL,15-02-2023,153.11,155.50,152.88,155.33,155.33,65573800
AAPL,16-02-2023,153.51,156.33,153.35,153.71,153.71,68167900
AAPL,17-02-2023,152.35,153.00,150.85,152.55,152.55,59144100
AAPL,21-02-2023,150.20,151.30,148.41,148.48,148.48,58867200
AAPL,22-02-2023,148.87,149.95,147.16,148.91,148.91,51011300
AAPL,23-02-2023,150.09,150.34,147.24,149.40,149.40,48394200
AAPL,24-02-2023,147.11,147.19,145.72,146.71,146.71,55469600
AAPL,27-02-2023,147.71,149.17,147.45,147.92,147.92,44998500
AAPL,28-02-2023,147.05,149.08,146.83,147.41,147.41,50547000
AAPL,01-03-2023,146.83,147.23,145.01,145.31,145.31,55479000
AAPL,02-03-2023,144.38,146.71,143.90,145.91,145.91,52238100
AAPL,03-03-2023,148.04,151.11,147.33,151.03,151.03,70732300
AAPL,06-03-2023,153.79,156.30,153.46,153.83,153.83,87558000
AAPL,07-03-2023,153.70,154.03,151.13,151.60,151.60,56182000
AAPL,08-03-2023,152.81,153.47,151.83,152.87,152.87,47204800
AAPL,09-03-2023,153.56,154.54,150.23,150.59,150.59,53833600
AAPL,10-03-2023,150.21,150.94,147.61,148.50,148.50,68572400
AAPL,13-03-2023,147.81,153.14,147.70,150.47,150.47,84457100
AAPL,14-03-2023,151.28,153.40,150.10,152.59,152.59,73695900
AAPL,15-03-2023,151.19,153.25,149.92,152.99,152.99,77167900
AAPL,16-03-2023,152.16,156.46,151.64,155.85,155.85,76161100
AAPL,17-03-2023,156.08,156.74,154.28,155.00,155.00,98944600
AAPL,20-03-2023,155.07,157.82,154.15,157.40,157.40,73641400
AAPL,21-03-2023,157.32,159.40,156.54,159.28,159.28,73938300
AAPL,22-03-2023,159.30,162.14,157.81,157.83,157.83,75701800
AAPL,23-03-2023,158.83,161.55,157.68,158.93,158.93,67622100
AAPL,24-03-2023,158.86,160.34,157.85,160.25,160.25,59196500
AAPL,27-03-2023,159.94,160.77,157.87,158.28,158.28,52390300
AAPL,28-03-2023,157.97,158.49,155.98,157.65,157.65,45992200
AAPL,29-03-2023,159.37,161.05,159.35,160.77,160.77,51305700
AAPL,30-03-2023,161.53,162.47,161.27,162.36,162.36,49501700
AAPL,31-03-2023,162.44,165.00,161.91,164.90,164.90,68749800
AAPL,03-04-2023,164.27,166.29,164.22,166.17,166.17,56976200
AAPL,04-04-2023,166.60,166.84,165.11,165.63,165.63,46278300
AAPL,05-04-2023,164.74,165.05,161.80,163.76,163.76,51511700
AAPL,06-04-2023,162.43,164.96,162.00,164.66,164.66,45390100
AAPL,10-04-2023,161.42,162.03,160.08,162.03,162.03,47716900
AAPL,11-04-2023,162.35,162.36,160.51,160.80,160.80,47644200
AAPL,12-04-2023,161.22,162.06,159.78,160.10,160.10,50133100
AAPL,13-04-2023,161.63,165.80,161.42,165.56,165.56,68445600
AAPL,14-04-2023,164.59,166.32,163.82,165.21,165.21,49386500
AAPL,17-04-2023,165.09,165.39,164.03,165.23,165.23,41516200
AAPL,18-04-2023,166.10,167.41,165.65,166.47,166.47,49923000
AAPL,19-04-2023,165.80,168.16,165.54,167.63,167.63,47720200
AAPL,20-04-2023,166.09,167.87,165.56,166.65,166.65,52456400
AAPL,21-04-2023,165.05,166.45,164.49,165.02,165.02,58337300
AAPL,24-04-2023,165.00,165.60,163.89,165.33,165.33,41949600
AAPL,25-04-2023,165.19,166.31,163.73,163.77,163.77,48714100
AAPL,26-04-2023,163.06,165.28,162.80,163.76,163.76,45498800
AAPL,27-04-2023,165.19,168.56,165.19,168.41,168.41,64902300
AAPL,28-04-2023,168.49,169.85,167.88,169.68,169.68,55209200
AAPL,01-05-2023,169.28,170.45,168.64,169.59,169.59,52472900
AAPL,02-05-2023,170.09,170.35,167.54,168.54,168.54,48425700
